term,term_set,except
happy,happy|happiness,happy hardcore
joy,joy|joyful|joyous,
upbeat,upbeat,
party,party,
fun,(fun|funny)&!funk,funk
angry,angry|anger,
depressive,depression|depressive|depressing|depressed,
afraid,afraid,
exciting,exciting|excited,
bored,boring|bored,
sad,sad|sadness|saddest song ever,
relax,relax|relaxed|relaxing,
calm,calm,
sleep,sleep|sleepy|sleeping|asleep,
at ease,at ease,
melancholy,melancholic|melancholy|melancholie|melanchol,
peaceful,peace|peaceful,
delighted,delight|delighted|delightful,
bitter,bitter&!bittersweet,bittersweet
sweet,sweet&!bittersweet,bittersweet
tired,tired,
moody,moody,
scary,scary,
distress,distress,
mellow,mellow,
quiet,quiet,
tense,tense,
gloomy,gloom|gloomy,
brutal,brutal,
passionate,passion|passionate,
funk,funk,
sexy,sexy,
feel good,feel good|feel well,
glad,glad,
pleasure,(pleasure|pleasant)&!(guilty pleasure|guilty pleasures),
desperate,desperate|despair|desperation,
chill,chill|chillout|chilled|chillin|chilln|chilly,
cheerful,cheer|cheerful|cheer up,
anxious,anxious|anxiety,
nervous,nervous,
romantic,romantic&!strangeromanticdeadrockcave,strangeromanticdeadrockcave
dark,dark,
hopeful,hope|hopeful,
smooth,smooth,
soothing,sooth|soothing,
sorrow,sorrow,
dreamy,dream|dreamy,
broody,brood|broody,
aggressive,aggressive|aggression,
heartfelt,heartfelt,
heartbroken,heartbroken|heartbreak|heartbreaking|broken heart,heartfelt
optimistic,optimistic|optimism,
cynical,cynical,
sarcastic,sarcastic,
bittersweet,bittersweet,
black,black,
jealous,jealous|jealousy|jealousness,
amusing,amusing,
alarm,alarm|alarmed,
droopy,droopy,
frustrated,frustrated|frustrate|frustration,
ambition,ambitious|ambition,
defiant,defiant,
guilty pleasure,guilty pleasure|guilty pleasures,
worried,worry|worrying|worried,
feel guilt,feel guilt,
miserable,miserable,
lonely,lonely|loneliness|alone,
confident,confident,
astonished,astonishing|astonished,
suspicious,suspicious,
distrustful,distrustful,
apathetic,apathetic,
dissatisfied,dissatisfied,
disppointed,disppointed,
determined,determined,
longing,longing,
startled,startled,
light-hearted,light-hearted,
quirky,quirky,
courageous,courageous,
solemn,solemn,
impressive,impressive|impressed,
serious,serious,
interested,interested|interesting|interessant,
lusting,lusting|lust,
comfort,comfort|comforting,
contemplative,contemplative,
triumphant,triumphant,
uplifting,uplifting,
pensive,pensive,
hypnotic,hpynotic,
trippy,trippy,
meditation,meditation|meditative,
loud,loud,
inspired,inspirational|inspiration|inspiring|inspired,
nostalgia,nostalgia|nostalgic,
dancing,dancing,
haunting,haunting,
emotional,emotional,
